,commdity_names,unit_names,2012,2013
0,"Aluminum:Bauxite, gross weight",thousand metric tons,47000.0,50400.0
1,Aluminum:Alumina,thousand metric tons,37700.0,47000.0
2,Aluminum:Metal:Primary,thousand metric tons,23500.0,26500.0
3,Aluminum:Metal:Secondary,thousand metric tons,4830.0,5270.0
4,"Antimony:Mine, Sb content",metric_tons,136000.0,121000.0
5,Antimony:Metal,metric_tons,240000.0,263000.0
6,"Bismuth:Mine output, Bi content",metric_tons,2500.0,1400.0
7,Bismuth:Metal,metric_tons,15000.0,15500.0
8,"Cadmium, smelter",metric_tons,7270.0,7500.0
9,"Chromite, gross weight",thousand metric tons,123.0,105.0
10,"Cobalt:Mine output, Co content",metric_tons,1500.0,1500.0
11,Cobalt:Refined ,metric_tons,29800.0,36100.0
12,"Copper:Mine output, Cu content",thousand metric tons,1550.0,1680.0
13,"Copper:Metal:Smelter, primary",thousand metric tons,3600.0,4230.0
14,Copper:Metal:Refined:Primary,thousand metric tons,3930.0,4690.0
15,Copper:Metal:Refined:Secondary,thousand metric tons,1950.0,1980.0
16,Germanium,metric_tons,105.0,110.0
17,"Gold, mine output, Au content",metric_tons,403.0,428.0
18,"Indium, primary and secondary",metric_tons,405.0,430.0
19,"Iron and steel:Iron ore:Crude ore, gross weight",thousand metric tons,1330000.0,1450000.0
20,"Iron and steel:Iron ore:Usable ore, gross weight",thousand metric tons,420000.0,417000.0
21,"Iron and steel:Iron ore:Usable ore, Fe content",thousand metric tons,261000.0,259000.0
22,Iron and steel:Pig iron4,thousand metric tons,663500.0,708970.0
23,Iron and steel:Ferroalloys,thousand metric tons,31300.0,37700.0
24,Iron and steel:Steel:4Crude,thousand metric tons,723880.0,779040.0
25,Iron and steel:Steel:4Rolled,thousand metric tons,955780.0,1067620.0
26,"Lead:Mine output, Pb content",thousand metric tons,2610.0,2700.0
27,"Lead:Metal:Smelter, primary",thousand metric tons,3120.0,3200.0
28,Lead:Metal:Refined:Primary,thousand metric tons,3220.0,3440.0
29,Lead:Metal:Refined:Secondary,thousand metric tons,1370.0,1500.0
30,"Magnesium, metal",metric_tons,698000.0,770000.0
31,Manganese:Ore:Gross weight,thousand metric tons,20000.0,17500.0
32,Manganese:Ore:Mn content,thousand metric tons,3800.0,3150.0
33,Manganese:Metal,thousand metric tons,1110.0,1050.0
34,"Mercury, mine output, Hg content",metric_tons,1350.0,1820.0
35,"Molybdenum, mine output, Mo content",metric_tons,120000.0,122000.0
36,"Nickel:Mine output, Ni content",metric_tons,93300.0,93300.0
37,Nickel:Matte,metric_tons,153000.0,157000.0
38,Nickel:Smelter,metric_tons,197000.0,227000.0
39,"Niobium and tantalum, mine output:Nb2O5 content",metric_tons,21.0,22.0
40,"Niobium and tantalum, mine output:Ta2O5 content",metric_tons,55.0,58.0
41,"Palladium, mine output, Pd content",kilograms,750.0,850.0
42,"Platinum, mine output, Pt content",kilograms,1400.0,1600.0
43,"Rhenium, Re content in NH4ReO45 ",kilograms,2200.0,2300.0
44,"Silicon, metal",thousand metric tons,1130.0,1450.0
45,"Silver, mine output, Ag content",metric_tons,3640.0,3900.0
46,"Tin:Mine output, Sn content",metric_tons,91000.0,10100.0
47,Tin:Metal,metric_tons,148000.0,159000.0
48,"Titanium:Ilmenite, TiO2 equivalent ",metric_tons,1800000.0,1910000.0
49,Titanium:Sponge,metric_tons,82000.0,82600.0
50,"Tungsten, mine output, W content",metric_tons,64400.0,71100.0
