,commdity_names,unit_names,2012,2013
51,"Vanadium, V2O5 in vanadiferous slag product",metric_tons,71000.0,80000.0
52,"Zinc:Mine output, Zn content",thousand metric tons,4860.0,5190.0
53,Zinc:Refined:Primary,thousand metric tons,4770.0,5160.0
54,Zinc:Refined:Secondary,thousand metric tons,120.0,150.0
55,Asbestos,metric_tons,320000.0,280000.0
56,Barite,thousand metric tons,5400.0,5260.0
57,Bentonite,thousand metric tons,4000.0,4500.0
58,"Boron, mine output, B2O3 equivalent",metric_tons,132000.0,114000.0
59,Bromine,metric_tons,160000.0,110000.0
60,Celestite,metric_tons,96000.0,76000.0
61,"Cement, hydraulic4",million metric tons,2210.0,2411.0
62,"Clays, kaolin",thousand metric tons,3300.0,3300.0
63,Diatomite,metric_tons,250000.0,310000.0
64,Dolomite,thousand metric tons,7300.0,8330.0
65,Feldspar,thousand metric tons,3350.0,3500.0
66,Fluorspar,thousand metric tons,5200.0,4800.0
67,Graphite:Aphanitic,metric_tons,150000.0,140000.0
68,Graphite:Flake,metric_tons,650000.0,700000.0
69,Gypsum:Natural,thousand metric tons,35000.0,28000.0
70,Gypsum:Byproduct,thousand metric tons,172000.0,184000.0
71,Lime,thousand metric tons,200000.0,220000.0
72,"Lithium:Mine output, Li content",metric_tons,1900.0,2100.0
73,Lithium:Lithium carbonate,metric_tons,35000.0,38000.0
74,Lithium:Lithium hydroxide,metric_tons,18000.0,22000.0
75,Lithium:Lithium metal,metric_tons,2000.0,2300.0
76,Magnesite,thousand metric tons,16000.0,17000.0
77,"Mica, natural",metric_tons,56000.0,41000.0
78,"Nitrogen, N content of ammonia4",thousand metric tons,45520.0,48326.0
79,"Phosphate rock, P2O5 equivalent",thousand metric tons,28500.0,33500.0
80,"Potash, marketable, K2O equivalent",thousand metric tons,3770.0,5300.0
81,"Rare earths, rare-earth oxide equivalent",metric_tons,100000.0,95000.0
82,Salt4,thousand metric tons,69120.0,73676.0
83,Sodium compounds:Caustic soda4,thousand metric tons,26970.0,29270.0
84,Sodium compounds:Mirabilite,thousand metric tons,7400.0,6500.0
85,"Sodium compounds:Soda ash, natural and synthetic4",thousand metric tons,24010.0,24320.0
86,"Sulfur, S content:eByproduct, domestic:Nonferrous, metallurgy",thousand metric tons,3370.0,3560.0
87,"Sulfur, S content:eByproduct, domestic:Petroleum and coal chemical industry",thousand metric tons,4910.0,5190.0
88,"Sulfur, S content:ePyrite",thousand metric tons,5820.0,6150.0
89,Talc and related materials,thousand metric tons,2060.0,1970.0
90,Coal:Anthracite,thousand metric tons,470000.0,451000.0
91,Coal:Bituminous,thousand metric tons,2820000.0,3220000.0
92,Coal:Lignite,thousand metric tons,371000.0,300000.0
93,"Coke, all types4",thousand metric tons,447790.0,481794.0
94,"Gas, natural, gross",billion cubic meters,107.0,121.0
95,"Petroleum:Crude, including crude from oil shale",million 42-gallon barrels,1510.0,1520.0
96,Petroleum:Refinery products,million 42-gallon barrels,3360.0,3500.0
97,"Uranium, mine output, U content",metric_tons,1500.0,1450.0
