"Cadmium, smelter",metric tons,2012,7270
"Chromite, gross weight",thousand metric tons,2012,123
"Cobalt: Mine output, Co content",metric tons,2012,1500
Cobalt: Refined ,metric tons,2012,29800
"Copper: Mine output, Cu content",thousand metric tons,2012,1550
"Copper: Metal: Smelter, primary",thousand metric tons,2012,3600
Copper: Metal: Refined: Primary,thousand metric tons,2012,3930
Copper: Metal: Refined: Secondary,thousand metric tons,2012,1950
Germanium,metric tons,2012,105
"Gold, mine output, Au content",metric tons,2012,403
"Indium, primary and secondary",metric tons,2012,405
"Iron and steel: Iron ore: Crude ore, gross weight",thousand metric tons,2012,1330000
"Iron and steel: Iron ore: Usable ore, gross weight",thousand metric tons,2012,420000
"Iron and steel: Iron ore: Usable ore, Fe content",thousand metric tons,2012,261000
Iron and steel: Pig iron,thousand metric tons,2012,663500
Iron and steel: Ferroalloys,thousand metric tons,2012,31300
Iron and steel: Steel: Crude,thousand metric tons,2012,723880
Iron and steel: Steel: Rolled,thousand metric tons,2012,955780
"Lead: Mine output, Pb content",thousand metric tons,2012,2610
"Lead: Metal: Smelter, primary",thousand metric tons,2012,3120
Lead: Metal: Refined: Primary,thousand metric tons,2012,3220
Lead: Metal: Refined: Secondary,thousand metric tons,2012,1370
"Magnesium, metal",metric tons,2012,698000
Manganese: Ore: Gross weight,thousand metric tons,2012,20000
Manganese: Ore: Mn content,thousand metric tons,2012,3800
Manganese: Metal,thousand metric tons,2012,1110
"Mercury, mine output, Hg content",metric tons,2012,1350
"Molybdenum, mine output, Mo content",metric tons,2012,120000
"Nickel: Mine output, Ni content",metric tons,2012,93300
Nickel: Matte,metric tons,2012,153000
Nickel: Smelter,metric tons,2012,197000
"Niobium and tantalum, mine output: Nb2O5 content",metric tons,2012,21
"Niobium and tantalum, mine output: Ta2O5 content",metric tons,2012,55
"Palladium, mine output, Pd content",kilograms,2012,750
"Platinum, mine output, Pt content",kilograms,2012,1400
"Rhenium, Re content in NH4ReO4",kilograms,2012,2200
"Silicon, metal",thousand metric tons,2012,1130
"Silver, mine output, Ag content",metric tons,2012,3640
"Tin: Mine output, Sn content",metric tons,2012,91000
Tin: Metal,metric tons,2012,148000
"Titanium: Ilmenite, TiO2 equivalent ",metric tons,2012,1800000
Titanium: Sponge,metric tons,2012,82000
"Tungsten, mine output, W content",metric tons,2012,64400
"Vanadium, V2O5 in vanadiferous slag product",metric tons,2012,71000
"Zinc: Mine output, Zn content",thousand metric tons,2012,4860
Zinc: Refined: Primary,thousand metric tons,2012,4770
Zinc: Refined: Secondary,thousand metric tons,2012,120
Asbestos,metric tons,2012,320000
Barite,thousand metric tons,2012,5400
Bentonite,thousand metric tons,2012,4000
"Boron, mine output, B2O3 equivalent",metric tons,2012,132000
Bromine,metric tons,2012,160000
Celestite,metric tons,2012,96000
"Cement, hydraulic4",million metric tons,2012,2210
"Clays, kaolin",thousand metric tons,2012,3300
Diatomite,metric tons,2012,250000
Dolomite,thousand metric tons,2012,7300
Feldspar,thousand metric tons,2012,3350
Fluorspar,thousand metric tons,2012,5200
Graphite: Aphanitic,metric tons,2012,150000
Graphite: Flake,metric tons,2012,650000
Gypsum: Natural,thousand metric tons,2012,35000
Gypsum: Byproduct,thousand metric tons,2012,172000
Lime,thousand metric tons,2012,200000
"Lithium: Mine output, Li content",metric tons,2012,1900
Lithium: Lithium carbonate,metric tons,2012,35000
Lithium: Lithium hydroxide,metric tons,2012,18000
Lithium: Lithium metal,metric tons,2012,2000
Magnesite,thousand metric tons,2012,16000
"Mica, natural",metric tons,2012,56000
"Nitrogen, N content of ammonia",thousand metric tons,2012,45520
"Phosphate rock, P2O5 equivalent",thousand metric tons,2012,28500
"Potash, marketable, K2O equivalent",thousand metric tons,2012,3770
"Rare earths, rare-earth oxide equivalent",metric tons,2012,100000
Salt,thousand metric tons,2012,69120
Sodium compounds: Caustic soda,thousand metric tons,2012,26970
Sodium compounds: Mirabilite,thousand metric tons,2012,7400
"Sodium compounds: Soda ash, natural and synthetic",thousand metric tons,2012,24010
"Sulfur, S content: Byproduct, domestic: Nonferrous, metallurgy",thousand metric tons,2012,3370
"Sulfur, S content: Byproduct, domestic: Petroleum and coal chemical industry",thousand metric tons,2012,4910
"Sulfur, S content: Pyrite",thousand metric tons,2012,5820
Talc and related materials,thousand metric tons,2012,2060
Coal: Anthracite,thousand metric tons,2012,470000
Coal: Bituminous,thousand metric tons,2012,2820000
Coal: Lignite,thousand metric tons,2012,371000
"Coke, all types",thousand metric tons,2012,447790
"Gas, natural, gross",billion cubic meters,2012,107
"Petroleum: Crude, including crude from oil shale",million 42-gallon barrels,2012,1510
Petroleum: Refinery products,million 42-gallon barrels,2012,3360
"Uranium, mine output, U content",metric tons,2012,1500
"Aluminum: Bauxite, gross weight",thousand metric tons,2013,50400
Aluminum: Alumina,thousand metric tons,2013,47000
Aluminum: Metal: Primary,thousand metric tons,2013,26500
Aluminum: Metal: Secondary,thousand metric tons,2013,5270
"Antimony: Mine, Sb content",metric tons,2013,121000
Antimony: Metal,metric tons,2013,263000
"Bismuth: Mine output, Bi content",metric tons,2013,1400
Bismuth: Metal,metric tons,2013,15500
"Cadmium, smelter",metric tons,2013,7500
"Chromite, gross weight",thousand metric tons,2013,105
"Cobalt: Mine output, Co content",metric tons,2013,1500
Cobalt: Refined ,metric tons,2013,36100
"Copper: Mine output, Cu content",thousand metric tons,2013,1680
"Copper: Metal: Smelter, primary",thousand metric tons,2013,4230
Copper: Metal: Refined: Primary,thousand metric tons,2013,4690
Copper: Metal: Refined: Secondary,thousand metric tons,2013,1980
Germanium,metric tons,2013,110
"Gold, mine output, Au content",metric tons,2013,428
"Indium, primary and secondary",metric tons,2013,430
"Iron and steel: Iron ore: Crude ore, gross weight",thousand metric tons,2013,1450000
"Iron and steel: Iron ore: Usable ore, gross weight",thousand metric tons,2013,417000
"Iron and steel: Iron ore: Usable ore, Fe content",thousand metric tons,2013,259000
Iron and steel: Pig iron,thousand metric tons,2013,708970
Iron and steel: Ferroalloys,thousand metric tons,2013,37700
Iron and steel: Steel: Crude,thousand metric tons,2013,779040
Iron and steel: Steel: Rolled,thousand metric tons,2013,1067620
"Lead: Mine output, Pb content",thousand metric tons,2013,2700
"Lead: Metal: Smelter, primary",thousand metric tons,2013,3200
Lead: Metal: Refined: Primary,thousand metric tons,2013,3440
Lead: Metal: Refined: Secondary,thousand metric tons,2013,1500
"Magnesium, metal",metric tons,2013,770000
Manganese: Ore: Gross weight,thousand metric tons,2013,17500
Manganese: Ore: Mn content,thousand metric tons,2013,3150
Manganese: Metal,thousand metric tons,2013,1050
"Mercury, mine output, Hg content",metric tons,2013,1820
"Molybdenum, mine output, Mo content",metric tons,2013,122000
"Nickel: Mine output, Ni content",metric tons,2013,93300
Nickel: Matte,metric tons,2013,157000
Nickel: Smelter,metric tons,2013,227000
"Niobium and tantalum, mine output: Nb2O5 content",metric tons,2013,22
"Niobium and tantalum, mine output: Ta2O5 content",metric tons,2013,58
"Palladium, mine output, Pd content",kilograms,2013,850
"Platinum, mine output, Pt content",kilograms,2013,1600
"Rhenium, Re content in NH4ReO4",kilograms,2013,2300
"Silicon, metal",thousand metric tons,2013,1450
"Silver, mine output, Ag content",metric tons,2013,3900
"Tin: Mine output, Sn content",metric tons,2013,10100
Tin: Metal,metric tons,2013,159000
"Titanium: Ilmenite, TiO2 equivalent ",metric tons,2013,1910000
Titanium: Sponge,metric tons,2013,82600
"Tungsten, mine output, W content",metric tons,2013,71100
"Vanadium, V2O5 in vanadiferous slag product",metric tons,2013,80000
"Zinc: Mine output, Zn content",thousand metric tons,2013,5190
Zinc: Refined: Primary,thousand metric tons,2013,5160
Zinc: Refined: Secondary,thousand metric tons,2013,150
Asbestos,metric tons,2013,280000
Barite,thousand metric tons,2013,5260
